model,engine_power,age_in_days,km,previous_owners,lat,lon,price
lounge,51,882,25000,1,44.90724182,8.611559868,8900
pop,51,1186,32500,1,45.66635895,12.24188995,8800
sport,74,4658,142228,1,45.50329971,11.41784,4200
lounge,51,2739,160000,1,40.63317108,17.63460922,6000
pop,73,3074,106880,1,41.90322113,12.49565029,5700
pop,74,3623,70225,1,45.0007019,7.68227005,7900
lounge,51,731,11600,1,44.90724182,8.611559868,10750
lounge,51,1521,49076,1,41.90322113,12.49565029,9190
sport,73,4049,76000,1,45.54800034,11.54946995,5600
sport,51,3653,89000,1,45.43830109,10.99170017,6000
pop,51,790,43286,1,40.87142944,14.43896008,8950
lounge,51,366,17500,1,45.06967926,7.704919815,10990
lounge,51,456,18450,1,45.42657089,11.78812981,9700
pop,51,3835,120000,1,40.53158951,17.43615913,4800
lounge,51,1035,40500,1,40.91136169,14.21119976,9300
lounge,51,1096,28200,1,45.6972084,9.845970154,9500
lounge,73,4200,110000,1,41.08235168,14.25424957,5250
pop,51,2223,96848,1,43.78237152,11.25498962,7990
lounge,51,2861,31000,1,45.06967926,7.704919815,7300
lounge,51,425,20030,1,45.35438919,11.86925983,10500
lounge,51,397,19037,1,45.70724869,11.4776001,10500
lounge,51,1886,110000,1,40.83581161,14.50440979,6990
lounge,51,1035,8000,1,44.50608826,12.04417038,10600
lounge,51,790,27595,1,45.68825912,8.731450081,10200
lounge,51,1583,14900,1,45.06967926,7.704919815,9990
lounge,51,366,9218,1,45.43811035,12.31814957,10800
pop,51,3592,124000,1,40.96617889,17.11647987,6800
sport,51,3531,100000,1,40.97645187,14.17228031,4950
lounge,51,762,28900,1,45.13167191,8.449170113,10640
lounge,51,670,4000,1,41.34975052,13.35332012,9500
lounge,62,2769,59216,1,43.78237152,11.25498962,6990
lounge,51,4169,99477,2,40.55056381,14.22562504,5900
lounge,51,821,21730,2,41.90322113,12.49565029,10500
sport,51,3927,140000,2,40.75593185,14.69019032,5200
lounge,51,640,32033,2,44.28387833,11.88813972,9790
pop,51,3653,138116,2,40.63317108,17.63460922,5000
pop,51,852,17000,1,45.50516129,8.939100266,8990
pop,51,3013,58527,1,45.68825912,8.731450081,7200
sport,51,790,43100,1,45.33407974,11.37687016,9950
pop,51,1858,13373,1,41.90322113,12.49565029,9000
sport,51,4139,119000,1,45.34931946,7.742599964,4890
pop,51,609,28500,1,45.74602127,9.049969673,10900
pop,51,1096,83000,1,41.95972061,12.79805565,7900
lounge,73,4049,98000,1,38.2181282,15.2402401,5999
lounge,51,456,12693,1,45.39360046,10.48223972,10900
lounge,51,762,14586,1,42.34196854,12.35848999,10500
lounge,51,821,27640,1,41.90322113,12.49565029,10400
lounge,51,2039,49000,1,41.90322113,12.49565029,7500
sport,51,3684,160000,1,45.4054718,10.27828979,4900
sport,51,4596,107000,1,40.84590149,14.36927032,4300
lounge,51,2192,66000,1,40.8401413,14.25226021,6999
sport,51,790,35000,1,45.33407974,11.37687016,10200
pop,51,1186,24651,1,41.90322113,12.49565029,9300
sport,62,3288,71900,1,41.06240082,14.27388,5990
lounge,51,701,11200,1,46.17649841,9.903670311,10600
lounge,51,3288,124050,1,43.86997986,10.3398304,5500
pop,51,1066,69395,1,45.23141098,9.592889786,7450
lounge,51,456,17961,1,45.39360046,10.48223972,10900
lounge,51,670,18669,1,45.0007019,7.68227005,10990
pop,51,1431,22700,1,41.90322113,12.49565029,8900
lounge,51,4169,56000,1,45.46796036,9.181779861,5900
lounge,51,701,22669,1,45.06967926,7.704919815,9500
pop,73,2557,50000,1,42.15787888,11.90227985,8250
lounge,51,2343,39743,1,45.69522858,9.669509888,8800
lounge,51,456,27466,1,45.39360046,10.48223972,9800
lounge,51,548,22609,1,45.6958313,9.180390358,9900
pop,51,1461,94485,1,44.50883865,11.46907997,7450
sport,51,4261,188000,1,41.06240082,14.27388,4490
lounge,51,2343,94000,1,45.43811035,12.31814957,7400
pop,51,2192,60786,1,43.9381218,10.91257954,7900
pop,51,1096,41950,1,41.66950989,12.50222969,10700
lounge,51,456,16971,1,45.39360046,10.48223972,10900
lounge,51,4108,45300,1,41.29956055,13.03258991,7400
lounge,51,4108,45300,1,41.29956055,13.03258991,7400
lounge,51,3227,75359,1,45.06967926,7.704919815,7800
lounge,51,366,12585,1,45.06967926,7.704919815,9900
pop,62,2101,103000,1,45.79785919,8.644439697,7900
sport,51,2739,77149,3,44.75489044,8.031900406,7800
lounge,51,456,13587,3,45.39360046,10.48223972,10900
lounge,51,1797,55595,3,45.76697922,11.73840046,7800
lounge,51,397,17250,3,45.06967926,7.704919815,10050
sport,51,4292,145000,3,41.06240082,14.27388,4799
lounge,51,790,20849,1,41.90322113,12.49565029,8100
lounge,51,3988,107375,1,41.37656021,14.07629967,5800
pop,63,2009,100000,1,45.31818008,9.105690002,7500
lounge,51,456,17841,1,45.39360046,10.48223972,10900
lounge,51,762,44778,1,45.5712204,9.159139633,9390
pop,51,3258,78681,1,45.67927933,9.237190247,7490
pop,51,4474,123000,1,40.63317108,17.63460922,4900
lounge,51,397,17912,1,41.83264923,12.75259972,9970
lounge,51,1066,69916,1,41.80298996,12.59893036,8980
lounge,51,2647,97700,1,44.50883865,11.46907997,7450
pop,51,366,11500,1,45.70724869,11.4776001,9500
lounge,51,397,17250,1,45.46796036,9.181779861,10050
lounge,51,366,12372,1,38.91444016,16.58436012,10465
sport,51,4292,165600,1,44.71540833,11.30830002,5950
pop,51,1066,28000,1,41.7690506,12.66281033,8500
sport,51,2009,86000,2,40.63317108,17.63460922,7800
lounge,51,456,18592,2,45.39360046,10.48223972,10900
pop,51,731,41558,2,45.5712204,9.159139633,8790
pop,51,4018,96000,2,44.29430008,9.674440384,5700
lounge,51,701,19000,1,41.26411057,13.74499035,10000
lounge,51,397,18183,1,41.83264923,12.75259972,9970
lounge,51,1066,69916,1,41.80298996,12.59893036,8980
pop,51,2647,75500,1,44.50883865,11.46907997,7500
pop,51,1827,39500,1,45.67340088,9.926890373,9800
lounge,51,397,17250,1,41.90322113,12.49565029,10050
pop,51,3835,128000,1,45.76464844,8.99450016,4900
pop,51,366,12929,1,45.55654907,9.534469604,9400
lounge,51,3562,113254,2,44.30582047,8.483639717,6100
lounge,51,366,18000,1,41.26411057,13.74499035,10700
lounge,51,397,16643,1,41.83264923,12.75259972,9970
lounge,51,2892,92300,1,43.88206863,11.10035038,7500
lounge,51,640,34873,1,40.85889816,14.35719013,9500
sport,51,4018,102000,1,41.35784912,13.42463017,6500
lounge,51,397,16135,1,45.35776901,9.612210274,10650
lounge,51,3865,95350,1,41.90322113,12.49565029,5500
lounge,51,425,19909,1,45.72071838,7.321430206,10950
lounge,51,425,16518,1,44.39997101,8.274499893,11000
pop,62,3135,113000,1,45.43811035,12.31814957,5800
pop,51,1096,50000,1,40.92166901,14.19626999,9500
pop,62,3013,120000,1,45.06967926,7.704919815,4900
lounge,51,3227,105000,1,45.6848793,9.717909813,6500
lounge,51,2831,104000,1,45.96493149,12.6445303,6000
pop,51,2831,56779,4,41.90322113,12.49565029,7500
lounge,51,397,17590,1,41.83264923,12.75259972,9970
pop,51,1127,7772,1,41.06985092,15.05898952,9000
lounge,51,2861,85000,1,45.6095314,10.20856953,7700
lounge,51,3623,75900,1,43.78237152,11.25498962,6300
lounge,51,1127,21400,1,44.33253098,7.545919895,9500
lounge,51,4292,112400,1,45.70610046,11.80737019,5000
lounge,51,366,18590,1,40.39588928,18.12977982,10900
sport,51,3988,175000,1,45.7012291,8.812990189,4800
lounge,51,701,22700,1,45.7768898,9.306159973,10250
pop,51,1096,50000,1,40.92166901,14.19626999,9500
lounge,62,3470,110000,1,40.83581161,14.50440979,4990
pop,51,1400,49000,1,45.60689163,9.306619644,8200
lounge,51,790,34012,1,45.43878937,10.76424026,10550
lounge,51,1155,53589,1,45.23141098,9.592889786,8950
lounge,51,397,14431,1,41.83264923,12.75259972,9970
lounge,51,2953,80000,1,45.58409119,9.270959854,6900
lounge,51,4169,81900,2,45.44327164,10.2302103,4900
lounge,51,3074,124100,2,45.52497864,9.522139549,6700
pop,51,1827,46000,1,45.66292953,11.60243034,7800
lounge,74,4230,176000,1,42.92044067,13.83355045,4990
lounge,51,366,13124,1,45.72071838,7.321430206,10950
lounge,51,4018,152900,1,43.06753159,12.55154991,5500
lounge,51,762,15917,1,40.93085098,14.52859974,9900
sport,51,4383,74000,1,43.52069855,13.23808002,6900
lounge,51,456,13215,1,39.29122162,16.25251389,9490
lounge,51,366,14732,1,45.74074173,12.23266983,9950
lounge,51,2892,67000,1,45.67483902,9.687859535,7900
lounge,51,790,39916,1,40.75220871,14.45341015,10279
lounge,51,397,13600,1,41.90322113,12.49565029,9970
lounge,51,701,21580,1,41.12586975,16.86665916,11090
lounge,51,3500,106000,1,41.27293015,16.41847038,5600
lounge,51,1858,35304,1,45.64609909,10.49915981,8000
lounge,51,4018,174000,1,42.92044067,13.83355045,5400
lounge,51,1886,51786,1,40.78419113,14.36966991,7990
lounge,51,456,56779,1,45.43811035,12.31814957,10800
lounge,51,3409,70000,1,41.90322113,12.49565029,5800
pop,51,3409,56779,1,42.45336914,14.14037991,8700
lounge,51,397,16755,1,39.29122162,16.25251389,9490
pop,51,701,48268,1,45.58409119,9.270959854,9000
pop,51,3531,97000,1,45.67483902,9.687859535,6500
lounge,51,790,39916,1,41.90322113,12.49565029,10280
pop,51,3804,114000,1,45.60697174,9.629229546,4500
lounge,51,397,15341,1,45.35776901,9.612210274,10950
lounge,51,3531,83000,1,40.63317108,17.63460922,5900
pop,51,2496,57200,1,41.90322113,12.49565029,7900
lounge,51,2892,96685,1,40.69556046,14.48085022,5900
lounge,51,366,17272,1,38.12207031,13.36112022,11000
sport,51,4077,124000,1,41.15206146,15.08308983,4250
lounge,51,731,24700,1,41.90322113,12.49565029,9450
pop,51,578,5000,1,40.8401413,14.25226021,8900
lounge,51,456,19133,1,45.39360046,10.48223972,10900
lounge,51,456,11998,1,39.29122162,16.25251389,9590
pop,51,790,39461,1,40.92649078,14.4764204,10800
lounge,51,1066,1232,1,45.46796036,9.181779861,9900
lounge,51,790,39916,1,41.80298996,12.59893036,10280
lounge,51,1308,23500,1,43.81702042,10.68284988,9800
lounge,51,397,14991,1,45.35776901,9.612210274,10950
lounge,51,2496,104000,1,40.46537018,17.25053978,6900
lounge,51,3378,132000,2,45.69522858,9.669509888,4800
lounge,51,548,20000,1,45.46350098,9.913140297,9600
lounge,51,487,18337,1,39.33176041,16.18132973,10500
pop,51,1400,25282,1,45.06967926,7.704919815,8200
lounge,51,4322,117000,1,45.32979965,10.12679958,5399
lounge,51,3197,160403,1,41.35784912,13.42463017,5500
lounge,51,1431,81900,1,44.13837051,12.23882008,10000
lounge,51,821,19000,1,44.98873901,9.010499954,9990
pop,51,670,45000,1,41.90322113,12.49565029,10670
lounge,51,670,38000,1,45.54597855,12.16055965,8900
pop,51,4353,76000,1,45.85166168,9.391869545,5500
lounge,51,3227,142000,1,44.29430008,9.674440384,4900
lounge,51,517,9150,1,44.41175842,12.2040596,10600
pop,51,1552,52026,1,45.06967926,7.704919815,6900
lounge,51,2282,145150,2,45.38684082,11.79088974,6800
lounge,51,397,19783,2,38.12207031,13.36112022,11000
lounge,51,3743,105610,2,37.72787857,12.88747025,4900
lounge,51,1035,18000,1,41.90322113,12.49565029,10990
lounge,51,1461,54000,1,38.12207031,13.36112022,10000
pop,51,852,10400,1,45.7907486,8.746919632,10400
lounge,51,762,22000,1,44.98873901,9.010499954,9790
lounge,51,4505,102502,1,45.06967926,7.704919815,5700
lounge,51,366,10000,1,45.54597855,12.16055965,10990
lounge,51,4292,124000,1,41.90322113,12.49565029,5300
lounge,51,397,14284,1,45.35776901,9.612210274,10850
pop,62,1917,37900,1,45.77878189,11.84053993,7600
pop,51,2588,88000,1,43.88206863,11.10035038,5500
lounge,51,456,13600,1,45.73727036,11.38978958,10400
pop,51,2557,52000,1,40.69672012,14.51916027,6900
lounge,51,1247,27464,1,45.61695862,9.422280312,8200
lounge,51,425,23212,1,45.35438919,11.86925983,10500
sport,51,3592,99180,1,43.62332916,11.46354008,6700
lounge,51,701,25000,1,44.98873901,9.010499954,9790
lounge,51,1247,39600,1,41.90322113,12.49565029,8500
lounge,51,3044,132000,1,37.8167305,12.86872005,7900
pop,51,790,48000,1,45.38145828,9.155489922,8500
lounge,51,4018,118000,2,44.06312943,12.44701004,5100
lounge,51,3927,121000,2,41.90322113,12.49565029,4500
lounge,51,2131,59753,1,44.43400955,10.40653992,6900
lounge,51,1886,56500,1,45.46796036,9.181779861,8500
lounge,51,397,18019,1,38.12207031,13.36112022,11000
lounge,51,3712,108000,1,45.56040955,8.059780121,6600
sport,73,3896,120000,1,44.29430008,9.674440384,5100
lounge,51,3896,120000,1,44.11185837,9.958860397,5900
lounge,51,425,18233,1,45.35438919,11.86925983,10500
lounge,51,456,10062,1,45.81475067,8.830129623,10700
pop,51,701,16000,1,44.98873901,9.010499954,9190
lounge,51,1370,64658,1,45.75424957,9.312749863,9435
lounge,51,670,25000,1,45.07889938,9.302300453,10500
sport,51,2466,113000,1,46.79201889,11.98031998,6600
pop,62,3258,84740,1,45.3355217,11.78584003,6900
pop,51,2374,81600,1,43.9381218,10.91257954,7600
lounge,51,762,8500,1,44.69252014,10.10396004,10800
lounge,51,366,14089,1,42.56283188,12.64220047,10900
lounge,51,2374,90000,1,44.28387833,11.88813972,7900
pop,51,1583,38000,1,41.90322113,12.49565029,8900
lounge,51,821,13500,1,41.90322113,12.49565029,10300
lounge,51,397,13105,1,45.35438919,11.86925983,10500
lounge,51,670,33608,1,43.06753159,12.55154991,10900
pop,51,3288,90000,1,43.9126091,12.90561008,6900
lounge,51,821,32150,1,45.51256943,10.32901001,9950
lounge,51,4018,68000,1,45.07889938,9.302300453,5800
lounge,51,2466,127000,1,44.13837051,12.23882008,6300
lounge,51,762,13236,2,40.69556046,14.48085022,10300
lounge,51,366,20653,2,45.70724869,11.4776001,10500
lounge,51,366,10909,2,38.12207031,13.36112022,11000
lounge,51,425,15000,2,44.55202866,7.725810051,10950
lounge,51,1858,12000,2,40.87839127,14.14029026,10500
lounge,51,790,39162,2,45.46796036,9.181779861,9990
lounge,51,790,27595,2,45.68825912,8.731450081,10200
lounge,51,790,23040,2,41.90322113,12.49565029,8000
lounge,51,397,12780,2,44.90724182,8.611559868,10500
lounge,51,790,30758,2,45.51256943,10.32901001,9950
pop,51,1127,50000,1,41.90322113,12.49565029,8250
pop,51,3439,125684,1,43.87985992,10.78281021,4390
pop,51,366,22148,1,45.6835289,11.95294952,9500
lounge,51,366,71200,1,44.03533173,10.13949013,8900
lounge,51,1127,44000,1,44.70143127,7.972080231,9500
lounge,51,425,18702,1,38.12207031,13.36112022,11000
pop,51,2131,40388,1,45.0127182,7.821589947,8390
lounge,73,4658,143000,1,45.06967926,7.704919815,4500
lounge,51,790,31650,1,45.68825912,8.731450081,10200
lounge,51,670,35000,1,41.90322113,12.49565029,10470
pop,62,1066,34464,1,43.78237152,11.25498962,7500
lounge,51,670,15214,1,37.6079483,12.96685028,10800
lounge,51,4383,135762,1,43.87985992,10.78281021,3390
lounge,51,3319,89179,2,45.6100502,9.242340088,7500
pop,51,2192,53428,2,45.46796036,9.181779861,6990
lounge,51,397,13980,2,45.46580124,8.88640976,9980
lounge,51,366,14816,2,38.12207031,13.36112022,11000
lounge,51,731,33070,2,41.10787964,14.20880985,10900
lounge,51,2374,102600,1,40.96617889,17.11647987,6800
pop,51,1827,45000,1,41.90322113,12.49565029,8200
pop,66,3957,83000,1,41.90322113,12.49565029,5800
lounge,51,701,21000,1,44.71540833,11.30830002,10900
lounge,51,2892,70000,1,43.33272171,11.71932983,6900
pop,51,4322,120000,1,40.67237854,14.72821999,4900
lounge,51,425,15384,1,45.51256943,10.32901001,10850
pop,51,2131,40000,1,45.5320015,9.28153038,7300
pop,51,1217,58497,1,41.90322113,12.49565029,8900
pop,51,4230,156000,3,45.67483902,9.687859535,4250
lounge,51,1917,49000,3,45.35776901,9.612210274,7800
lounge,51,397,14877,3,45.46580124,8.88640976,9980
lounge,51,366,17642,3,38.12207031,13.36112022,11000
pop,51,1066,65415,3,41.10787964,14.20880985,7900
sport,62,3013,67000,1,40.96617889,17.11647987,7500
lounge,51,2101,61400,1,41.90322113,12.49565029,7990
pop,51,1066,74000,1,41.80591965,13.05401993,8900
lounge,51,701,22000,1,44.71540833,11.30830002,10900
lounge,51,3105,119767,1,43.25386047,11.81614971,5800
lounge,51,701,10800,1,41.02598953,14.46444035,9850
lounge,51,397,18631,1,45.51256943,10.32901001,10850
lounge,51,4049,135000,1,41.90322113,12.49565029,5490
lounge,51,425,20900,1,45.53868866,9.928310394,10500
lounge,51,456,15324,1,45.81275177,9.224140167,10500
lounge,51,397,19286,1,45.46580124,8.88640976,9980
lounge,51,670,32156,1,41.10787964,14.20880985,10900
lounge,51,1247,11000,1,45.06967926,7.704919815,9990
lounge,51,1066,66000,1,43.34375,11.92121029,9000
pop,51,3957,148700,1,41.12586975,16.86665916,4900
pop,51,2496,99510,1,44.50883865,11.46907997,6500
pop,51,701,37950,1,41.77008057,12.22710991,7950
lounge,51,456,12600,1,44.90443039,8.199939728,10200
lounge,51,397,21886,1,45.51256943,10.32901001,10850
pop,51,3896,60000,1,45.62141037,12.45398998,4900
lounge,51,2282,50400,1,44.90724182,8.611559868,7900
lounge,51,1035,69900,1,42.14385986,12.54016018,9750
lounge,51,3347,133000,1,41.29956055,13.03258991,5400
lounge,51,397,15465,1,45.46580124,8.88640976,9980
pop,51,790,48461,1,41.10787964,14.20880985,8500
lounge,51,3957,136000,1,41.15206146,15.08308983,4990
lounge,74,4322,170000,1,45.55812073,9.213609695,4600
lounge,51,1096,37000,1,45.5501709,12.07188034,9300
lounge,51,366,15206,1,45.51256943,10.32901001,10850
lounge,51,4018,83000,1,45.83068848,12.03334045,5490
lounge,51,366,15000,1,44.29430008,9.674440384,10500
lounge,51,762,24700,1,42.14385986,12.54016018,9450
lounge,51,821,17600,1,44.76641846,8.705599785,10500
lounge,51,456,16043,1,45.46580124,8.88640976,9980
pop,51,366,5870,1,45.46796036,9.181779861,10999
lounge,51,425,16783,1,41.90322113,12.49565029,9100
lounge,51,4474,108400,1,46.17649841,9.903670311,6200
lounge,51,3470,78000,1,40.92850113,14.20366955,6000
lounge,51,701,42290,1,45.02238846,7.586019993,8400
lounge,51,790,37819,1,45.70724869,11.4776001,9700
lounge,51,397,17034,1,45.51256943,10.32901001,10950
lounge,51,3835,100000,1,45.4054718,10.27828979,5200
lounge,51,366,14000,1,44.29430008,9.674440384,10500
lounge,51,1155,40700,1,42.14385986,12.54016018,8750
pop,51,1521,37500,1,45.5320015,9.28153038,8290
lounge,51,456,26526,1,45.46580124,8.88640976,9980
lounge,51,425,12275,1,41.90322113,12.49565029,9100
lounge,51,701,37083,1,40.46537018,17.25053978,9000
lounge,51,2223,60000,1,45.31705856,8.858699799,7700
pop,51,2343,95000,1,45.33407974,11.37687016,7900
lounge,51,3684,71000,1,40.92850113,14.20366955,6000
lounge,51,1096,55851,1,41.90322113,12.49565029,7100
lounge,51,1247,22686,1,41.90322113,12.49565029,9390
lounge,51,425,20917,1,45.51256943,10.32901001,10850
lounge,51,3988,102932,2,45.6095314,10.20856953,5999
lounge,51,366,15000,2,44.29430008,9.674440384,10500
lounge,51,397,22775,2,45.46580124,8.88640976,9980
lounge,51,397,11997,2,45.46796036,9.181779861,9999
lounge,51,762,29000,2,45.76464844,8.99450016,10500
pop,51,1155,29000,2,43.78237152,11.25498962,10900
lounge,51,821,21877,2,46.17649841,9.903670311,10800
lounge,51,701,19934,2,45.13325882,7.632730007,8999
lounge,51,4108,138000,1,45.5501709,12.07188034,5200
lounge,51,456,11314,1,45.55812073,9.213609695,10900
lounge,51,425,17375,1,45.20227814,10.79292965,10950
pop,51,1066,52125,1,44.41175842,12.2040596,8900
lounge,51,366,18000,1,44.29430008,9.674440384,10500
lounge,51,2557,81247,1,45.28242111,9.931300163,7500
lounge,51,2739,90000,1,44.79853058,10.34022045,6200
sport,51,3743,68833,1,44.92488098,7.330989838,5490
pop,51,3347,85500,1,45.46796036,9.181779861,5699
lounge,51,790,35000,1,45.76464844,8.99450016,10500
lounge,51,2313,80000,1,40.92850113,14.20366955,6990
lounge,51,762,36448,1,40.75220871,14.45341015,8579
sport,51,2009,125000,1,45.19305038,9.15130043,6350
pop,51,2769,72000,1,44.13837051,12.23882008,7800
lounge,51,1521,46980,1,45.74602127,9.049969673,8600
lounge,51,397,16523,1,45.20227814,10.79292965,10850
pop,51,2313,19500,1,44.50482178,11.34517956,7900
lounge,51,366,17000,1,44.29430008,9.674440384,10500
lounge,51,2251,87000,1,45.06967926,7.704919815,5990
lounge,51,578,32057,1,40.9952507,17.21916008,9600
pop,51,366,11203,1,45.05659866,9.701760292,9900
lounge,51,3562,128000,2,45.50944901,9.088700294,4990
pop,51,2131,90000,1,41.90322113,12.49565029,6500
lounge,51,731,33665,1,40.75220871,14.45341015,9979
lounge,51,3804,78000,1,45.59614944,8.915809631,6600
lounge,51,701,13100,1,43.06753159,12.55154991,10500
lounge,51,1096,64944,1,41.90322113,12.49565029,7100
pop,51,2616,122000,1,45.66228104,9.631299973,5900
lounge,51,397,18877,1,45.20227814,10.79292965,10850
lounge,51,1521,55886,1,40.85889816,14.35719013,8500
lounge,51,366,19000,1,44.29430008,9.674440384,10500
pop,51,397,17500,1,42.10467911,14.70598984,9800
lounge,51,790,17200,1,45.64250183,12.16362,9800
